Cidade,cod_ibge,sigla,Nome Sigla
Cacoal,11,RO,Rondônia
Ariquemes,11,RO,Rondônia
Colorado do Oeste,11,RO,Rondônia
Guajará-Mirim,11,RO,Rondônia
Ji-Paraná,11,RO,Rondônia
Alvorada D'Oeste,11,RO,Rondônia
Vilhena,11,RO,Rondônia
Porto Velho,11,RO,Rondônia
Rio Branco,12,AC,Acre
Brasiléia,12,AC,Acre
Cruzeiro do Sul,12,AC,Acre
Tarauacá,12,AC,Acre
Sena Madureira,12,AC,Acre
Tefé,13,AM,Amazonas
Alto Solimões,13,AM,Amazonas
Coari,13,AM,Amazonas
Madeira,13,AM,Amazonas
Manaus,13,AM,Amazonas
Rio Negro,13,AM,Amazonas
Parintins,13,AM,Amazonas
Boca do Acre,13,AM,Amazonas
Purus,13,AM,Amazonas
Juruá,13,AM,Amazonas
Itacoatiara,13,AM,Amazonas
Japurá,13,AM,Amazonas
Rio Preto da Eva,13,AM,Amazonas
Boa Vista,14,RR,Roraima
Nordeste de Roraima,14,RR,Roraima
Caracaraí,14,RR,Roraima
Sudeste de Roraima,14,RR,Roraima
Cametá,15,PA,Pará
Paragominas,15,PA,Pará
Tomé-Açu,15,PA,Pará
Furos de Breves,15,PA,Pará
Parauapebas,15,PA,Pará
Santarém,15,PA,Pará
Almeirim,15,PA,Pará
Altamira,15,PA,Pará
Belém,15,PA,Pará
Bragantina,15,PA,Pará
Guamá,15,PA,Pará
Itaituba,15,PA,Pará
Portel,15,PA,Pará
São Félix do Xingu,15,PA,Pará
Marabá,15,PA,Pará
Tucuruí,15,PA,Pará
Castanhal,15,PA,Pará
Arari,15,PA,Pará
Salgado,15,PA,Pará
Conceição do Araguaia,15,PA,Pará
Óbidos,15,PA,Pará
Redenção,15,PA,Pará
Macapá,16,AP,Amapá
Amapá,16,AP,Amapá
Oiapoque,16,AP,Amapá
Mazagão,16,AP,Amapá
Miracema do Tocantins,17,TO,Tocantins
Bico do Papagaio,17,TO,Tocantins
Gurupi,17,TO,Tocantins
Dianópolis,17,TO,Tocantins
Porto Nacional,17,TO,Tocantins
Araguaína,17,TO,Tocantins
Rio Formoso,17,TO,Tocantins
Jalapão,17,TO,Tocantins
Imperatriz,21,MA,Maranhão
Coelho Neto,21,MA,Maranhão
Baixo Parnaíba Maranhense,21,MA,Maranhão
Litoral Ocidental Maranhense,21,MA,Maranhão
Pindaré,21,MA,Maranhão
Codó,21,MA,Maranhão
Gerais de Balsas,21,MA,Maranhão
Gurupi,21,MA,Maranhão
Baixada Maranhense,21,MA,Maranhão
Chapadinha,21,MA,Maranhão
Alto Mearim e Grajaú,21,MA,Maranhão
Rosário,21,MA,Maranhão
Médio Mearim,21,MA,Maranhão
Chapadas do Alto Itapecuru,21,MA,Maranhão
Lençóis Maranhenses,21,MA,Maranhão
Chapadas das Mangabeiras,21,MA,Maranhão
Caxias,21,MA,Maranhão
Porto Franco,21,MA,Maranhão
Itapecuru Mirim,21,MA,Maranhão
Presidente Dutra,21,MA,Maranhão
São Luís,21,MA,Maranhão
Alto Médio Canindé,22,PI,Piauí
Médio Parnaíba Piauiense,22,PI,Piauí
Pio IX,22,PI,Piauí
Campo Maior,22,PI,Piauí
Teresina,22,PI,Piauí
Alto Médio Gurguéia,22,PI,Piauí
São Raimundo Nonato,22,PI,Piauí
Bertolínia,22,PI,Piauí
Valença do Piauí,22,PI,Piauí
Picos,22,PI,Piauí
Chapadas do Extremo Sul Piauiense,22,PI,Piauí
Alto Parnaíba Piauiense,22,PI,Piauí
Baixo Parnaíba Piauiense,22,PI,Piauí
Litoral Piauiense,22,PI,Piauí
Floriano,22,PI,Piauí
Brejo Santo,23,CE,Ceará
Baturité,23,CE,Ceará
Litoral de Camocim e Acaraú,23,CE,Ceará
Sertão de Senador Pompeu,23,CE,Ceará
Sertão de Inhamuns,23,CE,Ceará
Meruoca,23,CE,Ceará
Caririaçu,23,CE,Ceará
Baixo Jaguaribe,23,CE,Ceará
Itapipoca,23,CE,Ceará
Várzea Alegre,23,CE,Ceará
Médio Curu,23,CE,Ceará
Fortaleza,23,CE,Ceará
Litoral de Aracati,23,CE,Ceará
Sertão de Cratéus,23,CE,Ceará
Chapada do Araripe,23,CE,Ceará
Barro,23,CE,Ceará
Lavras da Mangabeira,23,CE,Ceará
Sertão de Quixeramobim,23,CE,Ceará
Cariri,23,CE,Ceará
Chorozinho,23,CE,Ceará
Cascavel,23,CE,Ceará
Canindé,23,CE,Ceará
Sobral,23,CE,Ceará
Ibiapaba,23,CE,Ceará
Santa Quitéria,23,CE,Ceará
Iguatu,23,CE,Ceará
Coreaú,23,CE,Ceará
Serra do Pereiro,23,CE,Ceará
Pacajus,23,CE,Ceará
Ipu,23,CE,Ceará
Uruburetama,23,CE,Ceará
Médio Jaguaribe,23,CE,Ceará
Baixo Curu,23,CE,Ceará
Seridó Oriental,24,RN,Rio Grande do Norte
Vale do Açu,24,RN,Rio Grande do Norte
Angicos,24,RN,Rio Grande do Norte
Serra de São Miguel,24,RN,Rio Grande do Norte
Pau dos Ferros,24,RN,Rio Grande do Norte
Umarizal,24,RN,Rio Grande do Norte
Chapada do Apodi,24,RN,Rio Grande do Norte
Mossoró,24,RN,Rio Grande do Norte
Litoral Sul,24,RN,Rio Grande do Norte
Médio Oeste,24,RN,Rio Grande do Norte
Borborema Potiguar,24,RN,Rio Grande do Norte
Baixa Verde,24,RN,Rio Grande do Norte
Serra de Santana,24,RN,Rio Grande do Norte
Agreste Potiguar,24,RN,Rio Grande do Norte
Macau,24,RN,Rio Grande do Norte
Seridó Ocidental,24,RN,Rio Grande do Norte
Macaíba,24,RN,Rio Grande do Norte
Natal,24,RN,Rio Grande do Norte
Litoral Nordeste,24,RN,Rio Grande do Norte
Serra do Teixeira,25,PB,Paraíba
Piancó,25,PB,Paraíba
Brejo Paraibano,25,PB,Paraíba
Guarabira,25,PB,Paraíba
Cariri Oriental,25,PB,Paraíba
Curimataú Ocidental,25,PB,Paraíba
Litoral Sul,25,PB,Paraíba
Cajazeiras,25,PB,Paraíba
Cariri Ocidental,25,PB,Paraíba
Sousa,25,PB,Paraíba
Curimataú Oriental,25,PB,Paraíba
Patos,25,PB,Paraíba
Esperança,25,PB,Paraíba
Umbuzeiro,25,PB,Paraíba
Litoral Norte,25,PB,Paraíba
Seridó Oriental Paraibano,25,PB,Paraíba
João Pessoa,25,PB,Paraíba
Catolé do Rocha,25,PB,Paraíba
Itaporanga,25,PB,Paraíba
Campina Grande,25,PB,Paraíba
Itabaiana,25,PB,Paraíba
Sapé,25,PB,Paraíba
Seridó Ocidental Paraibano,25,PB,Paraíba
Recife,26,PE,Pernambuco
Pajeú,26,PE,Pernambuco
Petrolina,26,PE,Pernambuco
Brejo Pernambucano,26,PE,Pernambuco
Mata Meridional Pernambucana,26,PE,Pernambuco
Vale do Ipanema,26,PE,Pernambuco
Vale do Ipojuca,26,PE,Pernambuco
Mata Setentrional Pernambucana,26,PE,Pernambuco
Garanhuns,26,PE,Pernambuco
Itamaracá,26,PE,Pernambuco
Araripina,26,PE,Pernambuco
Sertão do Moxotó,26,PE,Pernambuco
Itaparica,26,PE,Pernambuco
Médio Capibaribe,26,PE,Pernambuco
Suape,26,PE,Pernambuco
Alto Capibaribe,26,PE,Pernambuco
Salgueiro,26,PE,Pernambuco
Vitória de Santo Antão,26,PE,Pernambuco
Fernando de Noronha,26,PE,Pernambuco
Serrana do Sertão Alagoano,27,AL,Alagoas
São Miguel dos Campos,27,AL,Alagoas
Arapiraca,27,AL,Alagoas
Mata Alagoana,27,AL,Alagoas
Maceió,27,AL,Alagoas
Batalha,27,AL,Alagoas
